"filename", "language", "TypeScript", "Markdown", "HTML", "JSON", "XML", "Batch", "TypeScript JSX", "JSON with Comments", "YAML", "Java", "Properties", "Groovy", "PostCSS", "comment", "blank", "total"
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/JavaGeneratorUtil.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14, 97
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 144
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_category.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 29
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_comment.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_line.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_list.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_list_item.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_read.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_read_default.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/config_utils.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 18
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/config/reload_config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/entity/create_entity.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/entity/entity_events.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/entity/entity_pose.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/entity/get_entity.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/entity/set_entity.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/entity/teleport_entity.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/cancel_event.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/command_argument.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/command_argument_get.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
